"Agent","AgentID","Cond","Qnum","Confidence"
"GPT",1,"op",1,100
"GPT",1,"op",2,100
"GPT",1,"op",3,100
"GPT",1,"op",4,100
"GPT",1,"op",5,80
"GPT",1,"op",6,90
"GPT",1,"op",7,100
"GPT",1,"op",8,100
"GPT",1,"op",9,100
"GPT",1,"op",10,100
"GPT",1,"op",11,100
"GPT",1,"op",12,100
"GPT",1,"op",13,60
"GPT",1,"op",14,100
"GPT",1,"op",15,100
"GPT",1,"op",16,90
"GPT",1,"op",17,80
"GPT",1,"op",18,100
"GPT",1,"op",19,100
"GPT",1,"op",20,100
"GPT",1,"4c",1,100
"GPT",1,"4c",2,100
"GPT",1,"4c",3,100
"GPT",1,"4c",4,100
"GPT",1,"4c",5,100
"GPT",1,"4c",6,100
"GPT",1,"4c",7,100
"GPT",1,"4c",8,100
"GPT",1,"4c",9,100
"GPT",1,"4c",10,100
"GPT",1,"4c",11,100
"GPT",1,"4c",12,100
"GPT",1,"4c",13,90
"GPT",1,"4c",14,100
"GPT",1,"4c",15,100
"GPT",1,"4c",16,100
"GPT",1,"4c",17,90
"GPT",1,"4c",18,80
"GPT",1,"4c",19,80
"GPT",1,"4c",20,100
"GPT",1,"2c",1,100
"GPT",1,"2c",2,100
"GPT",1,"2c",3,100
"GPT",1,"2c",4,100
"GPT",1,"2c",5,100
"GPT",1,"2c",6,100
"GPT",1,"2c",7,100
"GPT",1,"2c",8,100
"GPT",1,"2c",9,100
"GPT",1,"2c",10,100
"GPT",1,"2c",11,100
"GPT",1,"2c",12,100
"GPT",1,"2c",13,100
"GPT",1,"2c",14,90
"GPT",1,"2c",15,80
"GPT",1,"2c",16,100
"GPT",1,"2c",17,95
"GPT",1,"2c",18,100
"GPT",1,"2c",19,80
"GPT",1,"2c",20,100
"GPT",2,"op",1,100
"GPT",2,"op",2,100
"GPT",2,"op",3,100
"GPT",2,"op",4,100
"GPT",2,"op",5,80
"GPT",2,"op",6,80
"GPT",2,"op",7,100
"GPT",2,"op",8,100
"GPT",2,"op",9,100
"GPT",2,"op",10,100
"GPT",2,"op",11,100
"GPT",2,"op",12,100
"GPT",2,"op",13,90
"GPT",2,"op",14,90
"GPT",2,"op",15,100
"GPT",2,"op",16,90
"GPT",2,"op",17,80
"GPT",2,"op",18,95
"GPT",2,"op",19,70
"GPT",2,"op",20,100
"GPT",2,"4c",1,100
"GPT",2,"4c",2,100
"GPT",2,"4c",3,100
"GPT",2,"4c",4,100
"GPT",2,"4c",5,100
"GPT",2,"4c",6,100
"GPT",2,"4c",7,100
"GPT",2,"4c",8,100
"GPT",2,"4c",9,100
"GPT",2,"4c",10,100
"GPT",2,"4c",11,100
"GPT",2,"4c",12,100
"GPT",2,"4c",13,95
"GPT",2,"4c",14,90
"GPT",2,"4c",15,100
