"Agent","AgentID","Cond","Qnum","Confidence","row"
"Human",1,"op",1,99,1
"Human",1,"op",2,50,2
"Human",1,"op",3,30,3
"Human",1,"op",4,60,4
"Human",1,"op",5,50,5
"Human",1,"op",6,90,6
"Human",1,"op",7,80,7
"Human",1,"op",8,30,8
"Human",1,"op",9,10,9
"Human",1,"op",10,70,10
"Human",1,"op",11,90,11
"Human",1,"op",12,50,12
"Human",1,"op",13,30,13
"Human",1,"op",14,30,14
"Human",1,"op",15,20,15
"Human",1,"op",16,30,16
"Human",1,"op",17,30,17
"Human",1,"op",18,10,18
"Human",1,"op",19,30,19
"Human",1,"op",20,70,20
"Human",1,"2c",1,99,21
"Human",1,"2c",2,90,22
"Human",1,"2c",3,100,23
"Human",1,"2c",4,80,24
"Human",1,"2c",5,80,25
"Human",1,"2c",6,90,26
"Human",1,"2c",7,90,27
"Human",1,"2c",8,30,28
"Human",1,"2c",9,30,29
"Human",1,"2c",10,30,30
"Human",1,"2c",11,90,31
"Human",1,"2c",12,70,32
"Human",1,"2c",13,40,33
"Human",1,"2c",14,30,34
"Human",1,"2c",15,20,35
"Human",1,"2c",16,50,36
"Human",1,"2c",17,50,37
"Human",1,"2c",18,30,38
"Human",1,"2c",19,60,39
"Human",1,"2c",20,80,40
"Human",1,"4c",1,99,41
"Human",1,"4c",2,90,42
"Human",1,"4c",3,60,43
"Human",1,"4c",4,40,44
"Human",1,"4c",5,60,45
"Human",1,"4c",6,90,46
"Human",1,"4c",7,90,47
"Human",1,"4c",8,50,48
"Human",1,"4c",9,40,49
"Human",1,"4c",10,50,50
"Human",1,"4c",11,90,51
"Human",1,"4c",12,70,52
"Human",1,"4c",13,40,53
"Human",1,"4c",14,30,54
"Human",1,"4c",15,40,55
"Human",1,"4c",16,50,56
"Human",1,"4c",17,60,57
"Human",1,"4c",18,50,58
"Human",1,"4c",19,70,59
"Human",1,"4c",20,70,60
"Human",2,"op",1,100,61
"Human",2,"op",2,100,62
"Human",2,"op",3,100,63
"Human",2,"op",4,100,64
"Human",2,"op",5,100,65
"Human",2,"op",6,100,66
"Human",2,"op",7,100,67
"Human",2,"op",8,100,68
"Human",2,"op",9,100,69
"Human",2,"op",10,100,70
"Human",2,"op",11,100,71
"Human",2,"op",12,100,72
"Human",2,"op",13,100,73
"Human",2,"op",14,100,74
"Human",2,"op",15,100,75
"Human",2,"op",16,100,76
"Human",2,"op",17,100,77
"Human",2,"op",18,100,78
"Human",2,"op",19,100,79
"Human",2,"op",20,100,80
"Human",2,"2c",1,100,81
"Human",2,"2c",2,100,82
"Human",2,"2c",3,100,83
"Human",2,"2c",4,100,84
"Human",2,"2c",5,100,85
"Human",2,"2c",6,100,86
"Human",2,"2c",7,100,87
"Human",2,"2c",8,100,88
"Human",2,"2c",9,100,89
"Human",2,"2c",10,100,90
"Human",2,"2c",11,100,91
"Human",2,"2c",12,100,92
"Human",2,"2c",13,100,93
"Human",2,"2c",14,100,94
"Human",2,"2c",15,100,95
"Human",2,"2c",16,100,96
"Human",2,"2c",17,100,97
"Human",2,"2c",18,100,98
"Human",2,"2c",19,100,99
"Human",2,"2c",20,100,100
"Human",2,"4c",1,100,101
"Human",2,"4c",2,100,102
"Human",2,"4c",3,100,103
"Human",2,"4c",4,100,104
"Human",2,"4c",5,100,105
"Human",2,"4c",6,100,106
"Human",2,"4c",7,100,107
"Human",2,"4c",8,100,108
"Human",2,"4c",9,100,109
"Human",2,"4c",10,100,110
"Human",2,"4c",11,100,111
"Human",2,"4c",12,100,112
"Human",2,"4c",13,100,113
"Human",2,"4c",14,100,114
"Human",2,"4c",15,100,115
"Human",2,"4c",16,100,116
"Human",2,"4c",17,100,117
"Human",2,"4c",18,100,118
"Human",2,"4c",19,100,119
"Human",2,"4c",20,100,120
"Human",3,"op",1,100,121
"Human",3,"op",2,30,122
"Human",3,"op",3,90,123
"Human",3,"op",4,30,124
"Human",3,"op",5,70,125
"Human",3,"op",6,100,126
"Human",3,"op",7,95,127
"Human",3,"op",8,20,128
"Human",3,"op",9,20,129
"Human",3,"op",10,90,130
"Human",3,"op",11,95,131
"Human",3,"op",12,80,132
"Human",3,"op",13,90,133
"Human",3,"op",14,95,134
"Human",3,"op",15,100,135
"Human",3,"op",16,50,136
"Human",3,"op",17,50,137
"Human",3,"op",18,60,138
"Human",3,"op",19,60,139
"Human",3,"op",20,30,140
"Human",3,"2c",1,100,141
"Human",3,"2c",2,100,142
"Human",3,"2c",3,100,143
"Human",3,"2c",4,100,144
"Human",3,"2c",5,80,145
"Human",3,"2c",6,100,146
"Human",3,"2c",7,100,147
"Human",3,"2c",8,60,148
"Human",3,"2c",9,60,149
"Human",3,"2c",10,100,150
"Human",3,"2c",11,100,151
"Human",3,"2c",12,70,152
"Human",3,"2c",13,100,153
"Human",3,"2c",14,100,154
"Human",3,"2c",15,100,155
"Human",3,"2c",16,50,156
"Human",3,"2c",17,60,157
"Human",3,"2c",18,80,158
"Human",3,"2c",19,95,159
"Human",3,"2c",20,70,160
"Human",3,"4c",1,100,161
"Human",3,"4c",2,70,162
"Human",3,"4c",3,90,163
"Human",3,"4c",4,70,164
"Human",3,"4c",5,60,165
"Human",3,"4c",6,100,166
"Human",3,"4c",7,100,167
"Human",3,"4c",8,70,168
"Human",3,"4c",9,30,169
"Human",3,"4c",10,100,170
"Human",3,"4c",11,100,171
"Human",3,"4c",12,70,172
"Human",3,"4c",13,100,173
"Human",3,"4c",14,100,174
"Human",3,"4c",15,100,175
"Human",3,"4c",16,50,176
"Human",3,"4c",17,50,177
"Human",3,"4c",18,70,178
"Human",3,"4c",19,60,179
"Human",3,"4c",20,60,180
"Human",4,"op",1,100,181
"Human",4,"op",2,100,182
"Human",4,"op",3,10,183
"Human",4,"op",4,100,184
"Human",4,"op",5,100,185
"Human",4,"op",6,100,186
"Human",4,"op",7,100,187
"Human",4,"op",8,50,188
"Human",4,"op",9,100,189
"Human",4,"op",10,0,190
"Human",4,"op",11,100,191
"Human",4,"op",12,50,192
"Human",4,"op",13,100,193
"Human",4,"op",14,50,194
"Human",4,"op",15,100,195
"Human",4,"op",16,50,196
"Human",4,"op",17,1,197
"Human",4,"op",18,50,198
"Human",4,"op",19,98,199
"Human",4,"op",20,20,200
"Human",4,"2c",1,100,201
"Human",4,"2c",2,100,202
"Human",4,"2c",3,100,203
"Human",4,"2c",4,100,204
"Human",4,"2c",5,100,205
"Human",4,"2c",6,100,206
"Human",4,"2c",7,100,207
"Human",4,"2c",8,100,208
"Human",4,"2c",9,100,209
"Human",4,"2c",10,100,210
"Human",4,"2c",11,100,211
"Human",4,"2c",12,100,212
"Human",4,"2c",13,100,213
"Human",4,"2c",14,100,214
"Human",4,"2c",15,100,215
"Human",4,"2c",16,100,216
"Human",4,"2c",17,100,217
"Human",4,"2c",18,100,218
"Human",4,"2c",19,100,219
"Human",4,"2c",20,100,220
"Human",4,"4c",1,100,221
"Human",4,"4c",2,100,222
"Human",4,"4c",3,25,223
"Human",4,"4c",4,100,224
"Human",4,"4c",5,100,225
"Human",4,"4c",6,100,226
"Human",4,"4c",7,100,227
"Human",4,"4c",8,100,228
"Human",4,"4c",9,100,229
"Human",4,"4c",10,100,230
"Human",4,"4c",11,100,231
"Human",4,"4c",12,100,232
"Human",4,"4c",13,100,233
"Human",4,"4c",14,100,234
"Human",4,"4c",15,100,235
"Human",4,"4c",16,50,236
"Human",4,"4c",17,50,237
"Human",4,"4c",18,100,238
"Human",4,"4c",19,100,239
"Human",4,"4c",20,100,240
"Human",5,"op",1,100,241
"Human",5,"op",2,40,242
"Human",5,"op",3,0,243
"Human",5,"op",4,50,244
"Human",5,"op",5,30,245
"Human",5,"op",6,70,246
"Human",5,"op",7,100,247
"Human",5,"op",8,0,248
"Human",5,"op",9,30,249
"Human",5,"op",10,10,250
"Human",5,"op",11,100,251
"Human",5,"op",12,30,252
"Human",5,"op",13,0,253
"Human",5,"op",14,80,254
"Human",5,"op",15,100,255
"Human",5,"op",16,80,256
"Human",5,"op",17,50,257
"Human",5,"op",18,60,258
"Human",5,"op",19,0,259
"Human",5,"op",20,30,260
"Human",5,"2c",1,100,261
"Human",5,"2c",2,100,262
"Human",5,"2c",3,100,263
"Human",5,"2c",4,50,264
"Human",5,"2c",5,80,265
"Human",5,"2c",6,100,266
"Human",5,"2c",7,100,267
"Human",5,"2c",8,0,268
"Human",5,"2c",9,30,269
"Human",5,"2c",10,60,270
"Human",5,"2c",11,100,271
"Human",5,"2c",12,20,272
"Human",5,"2c",13,20,273
"Human",5,"2c",14,80,274
"Human",5,"2c",15,80,275
"Human",5,"2c",16,70,276
"Human",5,"2c",17,80,277
"Human",5,"2c",18,30,278
"Human",5,"2c",19,0,279
"Human",5,"2c",20,100,280
"Human",5,"4c",1,100,281
"Human",5,"4c",2,30,282
"Human",5,"4c",3,70,283
"Human",5,"4c",4,50,284
"Human",5,"4c",5,40,285
"Human",5,"4c",6,100,286
"Human",5,"4c",7,100,287
"Human",5,"4c",8,0,288
"Human",5,"4c",9,20,289
"Human",5,"4c",10,20,290
"Human",5,"4c",11,100,291
"Human",5,"4c",12,20,292
"Human",5,"4c",13,0,293
"Human",5,"4c",14,70,294
"Human",5,"4c",15,80,295
"Human",5,"4c",16,80,296
"Human",5,"4c",17,10,297
"Human",5,"4c",18,0,298
"Human",5,"4c",19,10,299
"Human",5,"4c",20,100,300
"Human",6,"op",1,90,301
"Human",6,"op",2,50,302
"Human",6,"op",3,0,303
"Human",6,"op",4,0,304
"Human",6,"op",5,10,305
"Human",6,"op",6,90,306
"Human",6,"op",7,95,307
"Human",6,"op",8,0,308
"Human",6,"op",9,10,309
"Human",6,"op",10,20,310
"Human",6,"op",11,90,311
"Human",6,"op",12,90,312
"Human",6,"op",13,50,313
"Human",6,"op",14,10,314
"Human",6,"op",15,20,315
"Human",6,"op",16,50,316
"Human",6,"op",17,20,317
"Human",6,"op",18,30,318
"Human",6,"op",19,30,319
"Human",6,"op",20,90,320
"Human",6,"2c",1,90,321
"Human",6,"2c",2,100,322
"Human",6,"2c",3,100,323
"Human",6,"2c",4,50,324
"Human",6,"2c",5,80,325
"Human",6,"2c",6,100,326
"Human",6,"2c",7,100,327
"Human",6,"2c",8,80,328
"Human",6,"2c",9,80,329
"Human",6,"2c",10,80,330
"Human",6,"2c",11,100,331
"Human",6,"2c",12,100,332
"Human",6,"2c",13,80,333
"Human",6,"2c",14,70,334
"Human",6,"2c",15,50,335
"Human",6,"2c",16,30,336
"Human",6,"2c",17,60,337
"Human",6,"2c",18,70,338
"Human",6,"2c",19,50,339
"Human",6,"2c",20,100,340
"Human",6,"4c",1,90,341
"Human",6,"4c",2,90,342
"Human",6,"4c",3,70,343
"Human",6,"4c",4,30,344
"Human",6,"4c",5,50,345
"Human",6,"4c",6,90,346
"Human",6,"4c",7,100,347
"Human",6,"4c",8,50,348
"Human",6,"4c",9,50,349
"Human",6,"4c",10,100,350
"Human",6,"4c",11,100,351
"Human",6,"4c",12,100,352
"Human",6,"4c",13,50,353
"Human",6,"4c",14,50,354
"Human",6,"4c",15,50,355
"Human",6,"4c",16,50,356
"Human",6,"4c",17,50,357
"Human",6,"4c",18,80,358
"Human",6,"4c",19,80,359
"Human",6,"4c",20,100,360
"Human",7,"op",1,90,361
"Human",7,"op",2,50,362
"Human",7,"op",3,30,363
"Human",7,"op",4,35,364
"Human",7,"op",5,90,365
"Human",7,"op",6,100,366
"Human",7,"op",7,100,367
"Human",7,"op",8,65,368
"Human",7,"op",9,100,369
