"Agent","AgentID","Cond","Qnum","Correctness"
"Human",1,"op",1,1
"Human",1,"op",2,1
"Human",1,"op",3,0
"Human",1,"op",4,1
"Human",1,"op",5,0
"Human",1,"op",6,1
"Human",1,"op",7,1
"Human",1,"op",8,0
"Human",1,"op",9,0
"Human",1,"op",10,0
"Human",1,"op",11,1
"Human",1,"op",12,1
"Human",1,"op",13,0
"Human",1,"op",14,0
"Human",1,"op",15,0
"Human",1,"op",16,0
"Human",1,"op",17,0
"Human",1,"op",18,0
"Human",1,"op",19,1
"Human",1,"op",20,0
"Human",1,"2c",1,1
"Human",1,"2c",2,1
"Human",1,"2c",3,1
"Human",1,"2c",4,1
"Human",1,"2c",5,0
"Human",1,"2c",6,1
"Human",1,"2c",7,1
"Human",1,"2c",8,0
"Human",1,"2c",9,0
"Human",1,"2c",10,1
"Human",1,"2c",11,1
"Human",1,"2c",12,1
"Human",1,"2c",13,0
"Human",1,"2c",14,1
"Human",1,"2c",15,0
"Human",1,"2c",16,1
"Human",1,"2c",17,0
"Human",1,"2c",18,1
"Human",1,"2c",19,1
"Human",1,"2c",20,1
"Human",1,"4c",1,1
"Human",1,"4c",2,1
"Human",1,"4c",3,0
"Human",1,"4c",4,1
"Human",1,"4c",5,0
"Human",1,"4c",6,1
"Human",1,"4c",7,1
"Human",1,"4c",8,1
"Human",1,"4c",9,0
"Human",1,"4c",10,1
"Human",1,"4c",11,1
"Human",1,"4c",12,1
"Human",1,"4c",13,0
"Human",1,"4c",14,0
"Human",1,"4c",15,1
"Human",1,"4c",16,0
"Human",1,"4c",17,0
"Human",1,"4c",18,1
"Human",1,"4c",19,1
"Human",1,"4c",20,1
"Human",2,"op",1,1
"Human",2,"op",2,0
"Human",2,"op",3,1
"Human",2,"op",4,1
"Human",2,"op",5,1
"Human",2,"op",6,1
"Human",2,"op",7,1
"Human",2,"op",8,1
"Human",2,"op",9,1
"Human",2,"op",10,1
"Human",2,"op",11,1
"Human",2,"op",12,1
"Human",2,"op",13,1
"Human",2,"op",14,1
"Human",2,"op",15,0
"Human",2,"op",16,1
"Human",2,"op",17,1
"Human",2,"op",18,1
"Human",2,"op",19,1
"Human",2,"op",20,0
"Human",2,"2c",1,1
"Human",2,"2c",2,1
"Human",2,"2c",3,1
"Human",2,"2c",4,1
"Human",2,"2c",5,1
"Human",2,"2c",6,1
"Human",2,"2c",7,1
"Human",2,"2c",8,1
"Human",2,"2c",9,1
"Human",2,"2c",10,1
"Human",2,"2c",11,1
"Human",2,"2c",12,1
"Human",2,"2c",13,1
"Human",2,"2c",14,1
"Human",2,"2c",15,0
"Human",2,"2c",16,1
"Human",2,"2c",17,1
"Human",2,"2c",18,1
"Human",2,"2c",19,1
"Human",2,"2c",20,1
"Human",2,"4c",1,1
"Human",2,"4c",2,1
"Human",2,"4c",3,1
"Human",2,"4c",4,1
"Human",2,"4c",5,1
"Human",2,"4c",6,1
"Human",2,"4c",7,1
"Human",2,"4c",8,1
"Human",2,"4c",9,1
"Human",2,"4c",10,1
"Human",2,"4c",11,1
"Human",2,"4c",12,1
"Human",2,"4c",13,1
"Human",2,"4c",14,1
"Human",2,"4c",15,0
"Human",2,"4c",16,1
"Human",2,"4c",17,1
"Human",2,"4c",18,1
"Human",2,"4c",19,1
"Human",2,"4c",20,1
"Human",3,"op",1,1
"Human",3,"op",2,1
"Human",3,"op",3,1
"Human",3,"op",4,1
"Human",3,"op",5,1
"Human",3,"op",6,1
"Human",3,"op",7,1
"Human",3,"op",8,0
"Human",3,"op",9,0
"Human",3,"op",10,1
"Human",3,"op",11,1
"Human",3,"op",12,0
"Human",3,"op",13,1
"Human",3,"op",14,1
"Human",3,"op",15,1
"Human",3,"op",16,0
"Human",3,"op",17,0
"Human",3,"op",18,1
"Human",3,"op",19,0
"Human",3,"op",20,0
"Human",3,"2c",1,1
"Human",3,"2c",2,1
"Human",3,"2c",3,1
"Human",3,"2c",4,1
"Human",3,"2c",5,1
"Human",3,"2c",6,1
"Human",3,"2c",7,1
"Human",3,"2c",8,0
"Human",3,"2c",9,0
"Human",3,"2c",10,1
"Human",3,"2c",11,1
"Human",3,"2c",12,1
"Human",3,"2c",13,1
"Human",3,"2c",14,1
"Human",3,"2c",15,1
"Human",3,"2c",16,0
"Human",3,"2c",17,0
"Human",3,"2c",18,1
"Human",3,"2c",19,0
"Human",3,"2c",20,1
"Human",3,"4c",1,1
"Human",3,"4c",2,0
"Human",3,"4c",3,1
"Human",3,"4c",4,1
"Human",3,"4c",5,1
"Human",3,"4c",6,1
"Human",3,"4c",7,1
"Human",3,"4c",8,0
"Human",3,"4c",9,1
"Human",3,"4c",10,1
"Human",3,"4c",11,1
"Human",3,"4c",12,1
"Human",3,"4c",13,1
"Human",3,"4c",14,1
"Human",3,"4c",15,1
"Human",3,"4c",16,0
"Human",3,"4c",17,0
"Human",3,"4c",18,1
"Human",3,"4c",19,0
"Human",3,"4c",20,1
"Human",4,"op",1,1
"Human",4,"op",2,1
"Human",4,"op",3,0
"Human",4,"op",4,1
"Human",4,"op",5,1
"Human",4,"op",6,1
"Human",4,"op",7,1
"Human",4,"op",8,1
"Human",4,"op",9,1
"Human",4,"op",10,0
"Human",4,"op",11,1
"Human",4,"op",12,0
"Human",4,"op",13,1
"Human",4,"op",14,1
"Human",4,"op",15,1
"Human",4,"op",16,0
"Human",4,"op",17,0
"Human",4,"op",18,1
"Human",4,"op",19,1
"Human",4,"op",20,0
"Human",4,"2c",1,1
"Human",4,"2c",2,1
"Human",4,"2c",3,1
"Human",4,"2c",4,1
"Human",4,"2c",5,1
"Human",4,"2c",6,1
"Human",4,"2c",7,1
"Human",4,"2c",8,1
"Human",4,"2c",9,1
"Human",4,"2c",10,1
"Human",4,"2c",11,1
"Human",4,"2c",12,1
"Human",4,"2c",13,1
"Human",4,"2c",14,1
"Human",4,"2c",15,1
"Human",4,"2c",16,0
"Human",4,"2c",17,1
"Human",4,"2c",18,1
"Human",4,"2c",19,1
"Human",4,"2c",20,1
"Human",4,"4c",1,1
"Human",4,"4c",2,1
"Human",4,"4c",3,0
"Human",4,"4c",4,1
"Human",4,"4c",5,1
"Human",4,"4c",6,1
"Human",4,"4c",7,1
"Human",4,"4c",8,1
"Human",4,"4c",9,1
"Human",4,"4c",10,1
"Human",4,"4c",11,1
"Human",4,"4c",12,1
"Human",4,"4c",13,1
"Human",4,"4c",14,1
"Human",4,"4c",15,1
"Human",4,"4c",16,0
"Human",4,"4c",17,0
"Human",4,"4c",18,1
"Human",4,"4c",19,1
"Human",4,"4c",20,1
"Human",5,"op",1,1
"Human",5,"op",2,1
"Human",5,"op",3,0
"Human",5,"op",4,1
"Human",5,"op",5,1
"Human",5,"op",6,1
"Human",5,"op",7,1
"Human",5,"op",8,0
"Human",5,"op",9,0
"Human",5,"op",10,0
"Human",5,"op",11,1
"Human",5,"op",12,1
"Human",5,"op",13,0
"Human",5,"op",14,1
"Human",5,"op",15,1
"Human",5,"op",16,0
"Human",5,"op",17,0
"Human",5,"op",18,0
"Human",5,"op",19,0
"Human",5,"op",20,0
"Human",5,"2c",1,1
"Human",5,"2c",2,1
"Human",5,"2c",3,1
"Human",5,"2c",4,1
"Human",5,"2c",5,1
"Human",5,"2c",6,1
"Human",5,"2c",7,1
"Human",5,"2c",8,0
"Human",5,"2c",9,0
"Human",5,"2c",10,1
"Human",5,"2c",11,1
"Human",5,"2c",12,1
"Human",5,"2c",13,0
"Human",5,"2c",14,1
"Human",5,"2c",15,1
"Human",5,"2c",16,1
"Human",5,"2c",17,1
"Human",5,"2c",18,0
"Human",5,"2c",19,0
"Human",5,"2c",20,1
"Human",5,"4c",1,1
"Human",5,"4c",2,1
"Human",5,"4c",3,0
"Human",5,"4c",4,1
"Human",5,"4c",5,1
"Human",5,"4c",6,1
"Human",5,"4c",7,1
"Human",5,"4c",8,0
"Human",5,"4c",9,0
"Human",5,"4c",10,1
"Human",5,"4c",11,1
"Human",5,"4c",12,1
"Human",5,"4c",13,0
"Human",5,"4c",14,1
"Human",5,"4c",15,1
"Human",5,"4c",16,0
"Human",5,"4c",17,0
"Human",5,"4c",18,0
"Human",5,"4c",19,0
"Human",5,"4c",20,1
"Human",6,"op",1,1
"Human",6,"op",2,1
"Human",6,"op",3,0
"Human",6,"op",4,1
"Human",6,"op",5,1
"Human",6,"op",6,1
"Human",6,"op",7,1
"Human",6,"op",8,0
"Human",6,"op",9,0
"Human",6,"op",10,1
"Human",6,"op",11,1
"Human",6,"op",12,1
"Human",6,"op",13,1
"Human",6,"op",14,1
"Human",6,"op",15,0
"Human",6,"op",16,0
"Human",6,"op",17,0
"Human",6,"op",18,0
"Human",6,"op",19,0
"Human",6,"op",20,1
"Human",6,"2c",1,1
"Human",6,"2c",2,1
"Human",6,"2c",3,1
"Human",6,"2c",4,1
"Human",6,"2c",5,0
"Human",6,"2c",6,1
"Human",6,"2c",7,1
"Human",6,"2c",8,1
"Human",6,"2c",9,0
"Human",6,"2c",10,1
"Human",6,"2c",11,1
"Human",6,"2c",12,1
"Human",6,"2c",13,1
"Human",6,"2c",14,1
"Human",6,"2c",15,0
"Human",6,"2c",16,0
"Human",6,"2c",17,1
"Human",6,"2c",18,1
"Human",6,"2c",19,1
"Human",6,"2c",20,1
"Human",6,"4c",1,1
"Human",6,"4c",2,1
"Human",6,"4c",3,0
"Human",6,"4c",4,0
"Human",6,"4c",5,1
"Human",6,"4c",6,1
"Human",6,"4c",7,1
"Human",6,"4c",8,1
"Human",6,"4c",9,1
"Human",6,"4c",10,1
"Human",6,"4c",11,1
"Human",6,"4c",12,1
"Human",6,"4c",13,1
"Human",6,"4c",14,1
"Human",6,"4c",15,0
"Human",6,"4c",16,0
"Human",6,"4c",17,0
"Human",6,"4c",18,1
"Human",6,"4c",19,1
"Human",6,"4c",20,1
"Human",7,"op",1,1
"Human",7,"op",2,1
"Human",7,"op",3,0
"Human",7,"op",4,1
"Human",7,"op",5,0
"Human",7,"op",6,1
"Human",7,"op",7,1
"Human",7,"op",8,0
"Human",7,"op",9,1
"Human",7,"op",10,1
"Human",7,"op",11,1
"Human",7,"op",12,0
"Human",7,"op",13,0
"Human",7,"op",14,0
"Human",7,"op",15,0
"Human",7,"op",16,0
"Human",7,"op",17,0
"Human",7,"op",18,0
"Human",7,"op",19,0
"Human",7,"op",20,0
"Human",7,"2c",1,1
"Human",7,"2c",2,1
"Human",7,"2c",3,1
"Human",7,"2c",4,1
"Human",7,"2c",5,0
"Human",7,"2c",6,1
"Human",7,"2c",7,1
"Human",7,"2c",8,0
"Human",7,"2c",9,1
"Human",7,"2c",10,1
"Human",7,"2c",11,1
"Human",7,"2c",12,1
"Human",7,"2c",13,1
"Human",7,"2c",14,1
"Human",7,"2c",15,0
"Human",7,"2c",16,0
"Human",7,"2c",17,1
"Human",7,"2c",18,1
"Human",7,"2c",19,0
"Human",7,"2c",20,1
"Human",7,"4c",1,1
"Human",7,"4c",2,1
"Human",7,"4c",3,0
"Human",7,"4c",4,1
"Human",7,"4c",5,0
"Human",7,"4c",6,1
"Human",7,"4c",7,1
"Human",7,"4c",8,0
"Human",7,"4c",9,1
"Human",7,"4c",10,1
"Human",7,"4c",11,1
"Human",7,"4c",12,1
"Human",7,"4c",13,0
"Human",7,"4c",14,1
"Human",7,"4c",15,0
"Human",7,"4c",16,0
"Human",7,"4c",17,0
"Human",7,"4c",18,1
"Human",7,"4c",19,0
"Human",7,"4c",20,1
"Human",8,"op",1,1
"Human",8,"op",2,0
"Human",8,"op",3,0
"Human",8,"op",4,0
"Human",8,"op",5,1
"Human",8,"op",6,1
"Human",8,"op",7,1
"Human",8,"op",8,0
"Human",8,"op",9,0
"Human",8,"op",10,0
"Human",8,"op",11,1
"Human",8,"op",12,1
"Human",8,"op",13,0
"Human",8,"op",14,0
"Human",8,"op",15,0
"Human",8,"op",16,1
"Human",8,"op",17,0
"Human",8,"op",18,0
"Human",8,"op",19,0
"Human",8,"op",20,0
"Human",8,"2c",1,1
"Human",8,"2c",2,0
"Human",8,"2c",3,1
