Agent,Cond,AgentID,Mean_conf
Human,2C,1,61.95
Human,2C,2,100
Human,2C,3,86.25
Human,2C,4,100
Human,2C,5,65
Human,2C,6,78.5
Human,2C,7,84
Human,2C,8,49.5
Human,2C,9,82.5
Human,2C,10,60
Human,2C,11,65
Human,2C,12,38.4
Human,2C,13,60
Human,2C,14,43.5
Human,2C,15,78.5
Human,2C,16,63.25
Human,2C,17,67.5
Human,2C,18,88
Human,2C,19,80.5
Human,2C,20,64
Human,2C,21,83.5
Human,2C,22,43.15
Human,2C,23,83.5
Human,2C,24,86.5
Human,2C,25,67.95
Human,2C,26,64
Human,2C,27,33.05
Human,2C,28,62.5
Human,2C,29,58
Human,2C,30,75.5
Human,2C,31,87
Human,2C,32,87.5
Human,2C,33,84.5
Human,2C,34,49.25
Human,2C,35,100
Human,2C,36,69
Human,2C,37,75
Human,2C,38,70
Human,2C,39,83
Human,2C,40,76.5
Human,2C,41,73.5
Human,2C,42,53
Human,2C,43,83.5
Human,2C,44,78.5
Human,2C,45,67.5
Human,2C,46,63.5
Human,2C,47,70.5
Human,2C,48,70.85
Human,2C,49,84.5
Human,2C,50,77.5
Human,2C,51,64.15
Human,2C,52,73.5
Human,2C,53,65.5
Human,2C,54,76
Human,2C,55,70.75
Human,2C,56,82.5
Human,2C,57,100
Human,2C,58,51
Human,2C,59,90
Human,2C,60,75
Human,2C,61,82.5
Human,2C,62,66.25
Human,2C,63,54
Human,2C,64,82.5
Human,2C,65,71.5
Human,2C,66,90
Human,2C,67,88.5
Human,2C,68,62.45
Human,2C,69,82.5
Human,2C,70,64
Human,2C,71,75.5
Human,2C,72,66.5
Human,2C,73,77.5
Human,2C,74,65.75
Human,2C,75,88.95
Human,2C,76,65
Human,2C,77,88
Human,2C,78,66
Human,2C,79,82.5
Human,2C,80,43.7
Human,2C,81,75.4
Human,2C,82,100
Human,2C,83,50
Human,2C,84,53
Human,2C,85,60.75
Human,2C,86,71.65
Human,2C,87,66
Human,4C,1,61.95
Human,4C,2,100
Human,4C,3,77.5
Human,4C,4,91.25
Human,4C,5,50
Human,4C,6,71.5
Human,4C,7,87.5
Human,4C,8,45.35
Human,4C,9,73.75
Human,4C,10,65
Human,4C,11,61
Human,4C,12,44.3
Human,4C,13,50
Human,4C,14,58
Human,4C,15,78.5
Human,4C,16,58.75
Human,4C,17,56
Human,4C,18,78
Human,4C,19,74.5
Human,4C,20,76.5
Human,4C,21,85.5
Human,4C,22,56.3
Human,4C,23,94
Human,4C,24,97.5
Human,4C,25,63.2
Human,4C,26,66
Human,4C,27,32.45
Human,4C,28,57.5
Human,4C,29,77.5
Human,4C,30,82.5
Human,4C,31,74.25
Human,4C,32,91.5
Human,4C,33,83
Human,4C,34,44.5
Human,4C,35,100
Human,4C,36,65.5
Human,4C,37,66
Human,4C,38,62.5
Human,4C,39,75
Human,4C,40,77.5
Human,4C,41,71
Human,4C,42,35
Human,4C,43,77
Human,4C,44,74.5
Human,4C,45,76
Human,4C,46,58
Human,4C,47,81
Human,4C,48,84.9
Human,4C,49,82
Human,4C,50,92.5
Human,4C,51,67.2
Human,4C,52,74
Human,4C,53,63.5
Human,4C,54,69.5
Human,4C,55,65.9
Human,4C,56,71
Human,4C,57,100
Human,4C,58,42.35
Human,4C,59,81.25
Human,4C,60,59.5
Human,4C,61,76.65
Human,4C,62,69.75
Human,4C,63,55.5
Human,4C,64,82.5
Human,4C,65,69.25
Human,4C,66,87.5
Human,4C,67,83.5
Human,4C,68,53.4
Human,4C,69,85
Human,4C,70,72
Human,4C,71,79.5
Human,4C,72,60.75
Human,4C,73,74.5
Human,4C,74,39.2
Human,4C,75,89.9
