Agent,Cond,AgentID,Mean_CR
Human,2C,1,0.7
Human,2C,2,0.95
Human,2C,3,0.75
Human,2C,4,0.95
Human,2C,5,0.75
Human,2C,6,0.8
Human,2C,7,0.75
Human,2C,8,0.5
Human,2C,9,0.8
Human,2C,10,0.75
Human,2C,11,0.8
Human,2C,12,0.7
Human,2C,13,0.85
Human,2C,14,0.85
Human,2C,15,0.6
Human,2C,16,0.8
Human,2C,17,0.8
Human,2C,18,0.55
Human,2C,19,0.65
Human,2C,20,0.6
Human,2C,21,0.9
Human,2C,22,0.6
Human,2C,23,0.6
Human,2C,24,1
Human,2C,25,0.95
Human,2C,26,0.7
Human,2C,27,0.75
Human,2C,28,0.8
Human,2C,29,0.85
Human,2C,30,0.85
Human,2C,31,0.8
Human,2C,32,0.85
Human,2C,33,0.75
Human,2C,34,0.75
Human,2C,35,1
Human,2C,36,0.75
Human,2C,37,0.8
Human,2C,38,0.7
Human,2C,39,0.6
Human,2C,40,0.6
Human,2C,41,0.65
Human,2C,42,0.7
Human,2C,43,0.8
Human,2C,44,0.65
Human,2C,45,0.7
Human,2C,46,0.75
Human,2C,47,0.6
Human,2C,48,0.75
Human,2C,49,0.8
Human,2C,50,0.6
Human,2C,51,0.75
Human,2C,52,0.8
Human,2C,53,0.8
Human,2C,54,0.75
Human,2C,55,0.75
Human,2C,56,0.65
Human,2C,57,0.65
Human,2C,58,0.55
Human,2C,59,0.7
Human,2C,60,0.75
Human,2C,61,0.75
Human,2C,62,0.6
Human,2C,63,0.5
Human,2C,64,0.7
Human,2C,65,0.7
Human,2C,66,0.8
Human,2C,67,0.85
Human,2C,68,0.75
Human,2C,69,0.7
Human,2C,70,0.75
Human,2C,71,0.8
Human,2C,72,0.6
Human,2C,73,0.65
Human,2C,74,0.7
Human,2C,75,0.85
Human,2C,76,0.8
Human,2C,77,0.9
Human,2C,78,0.5
Human,2C,79,0.8
Human,2C,80,0.5
Human,2C,81,0.6
Human,2C,82,0.7
Human,2C,83,0.6
Human,2C,84,0.6
Human,2C,85,0.85
Human,2C,86,0.55
Human,2C,87,0.8
Human,4C,1,0.65
Human,4C,2,0.95
Human,4C,3,0.75
Human,4C,4,0.85
Human,4C,5,0.6
Human,4C,6,0.75
Human,4C,7,0.6
Human,4C,8,0.6
Human,4C,9,0.8
Human,4C,10,0.7
Human,4C,11,0.7
Human,4C,12,0.45
Human,4C,13,0.75
Human,4C,14,0.75
Human,4C,15,0.55
Human,4C,16,0.7
Human,4C,17,0.85
Human,4C,18,0.6
Human,4C,19,0.6
Human,4C,20,0.7
Human,4C,21,0.7
Human,4C,22,0.6
Human,4C,23,0.6
Human,4C,24,1
Human,4C,25,0.95
Human,4C,26,0.7
Human,4C,27,0.6
Human,4C,28,0.4
Human,4C,29,0.8
Human,4C,30,0.9
Human,4C,31,0.8
Human,4C,32,0.7
Human,4C,33,0.75
Human,4C,34,0.85
Human,4C,35,1
Human,4C,36,0.85
Human,4C,37,0.8
