Agent,Cond,Qnum,Mean_conf
Human,2C,1,93.356321839080465
Human,2C,2,92.5632183908046
Human,2C,3,97.50574712643679
Human,2C,4,67.7816091954023
Human,2C,5,72.58620689655173
Human,2C,6,84.8735632183908
Human,2C,7,90.40229885057471
Human,2C,8,54.57471264367816
Human,2C,9,61.93103448275862
Human,2C,10,80.16091954022988
Human,2C,11,92.9080459770115
Human,2C,12,71.24137931034483
Human,2C,13,59.747126436781606
Human,2C,14,65.13793103448276
Human,2C,15,63.32183908045977
Human,2C,16,49.85057471264368
Human,2C,17,62.58620689655172
Human,2C,18,56.44827586206897
Human,2C,19,54.11494252873563
Human,2C,20,69.6896551724138
Human,4C,1,94.04597701149426
Human,4C,2,79.06896551724138
Human,4C,3,61.42528735632184
Human,4C,4,62.13793103448276
Human,4C,5,73.33333333333333
Human,4C,6,88.20689655172414
Human,4C,7,90.27586206896552
Human,4C,8,52.9080459770115
Human,4C,9,65.10344827586206
Human,4C,10,84.77011494252874
Human,4C,11,92.83908045977012
Human,4C,12,74.08045977011494
Human,4C,13,66.13793103448276
Human,4C,14,73.08045977011494
Human,4C,15,77.22988505747126
Human,4C,16,50.81609195402299
Human,4C,17,49.49425287356322
Human,4C,18,51.13793103448276
Human,4C,19,53.758620689655174
Human,4C,20,68.94252873563218
Human,OP,1,90.96551724137932
Human,OP,2,66.1264367816092
Human,OP,3,42.86206896551724
Human,OP,4,50.60919540229885
Human,OP,5,68.73563218390805
Human,OP,6,86.50574712643679
Human,OP,7,82.50574712643679
Human,OP,8,37.64367816091954
Human,OP,9,44.839080459770116
Human,OP,10,71.85057471264368
Human,OP,11,86.60919540229885
Human,OP,12,50.4367816091954
Human,OP,13,42.9080459770115
Human,OP,14,50.367816091954026
Human,OP,15,51.85057471264368
Human,OP,16,36.41379310344828
Human,OP,17,33.35632183908046
Human,OP,18,33.735632183908045
Human,OP,19,39.2183908045977
Human,OP,20,46.689655172413794
GPT,2C,1,100
GPT,2C,2,100
GPT,2C,3,100
GPT,2C,4,100
GPT,2C,5,86.26436781609195
GPT,2C,6,100
GPT,2C,7,100
GPT,2C,8,99.98850574712644
GPT,2C,9,100
GPT,2C,10,95.74712643678161
GPT,2C,11,100
GPT,2C,12,97.52873563218391
GPT,2C,13,96.20689655172414
GPT,2C,14,92.7816091954023
GPT,2C,15,81.26436781609195
GPT,2C,16,90.34482758620689
GPT,2C,17,89.65517241379311
GPT,2C,18,85.51724137931035
GPT,2C,19,90.25287356321839
GPT,2C,20,100
GPT,4C,1,100
GPT,4C,2,100
GPT,4C,3,100
GPT,4C,4,100
GPT,4C,5,99.71264367816092
GPT,4C,6,99.77011494252874
GPT,4C,7,100
GPT,4C,8,100
GPT,4C,9,100
GPT,4C,10,100
GPT,4C,11,100
GPT,4C,12,98.02298850574712
GPT,4C,13,93.79310344827586
GPT,4C,14,88.0919540229885
GPT,4C,15,100
GPT,4C,16,94.643678160919535
GPT,4C,17,83.85057471264368
GPT,4C,18,86.20689655172414
GPT,4C,19,90.19540229885058
GPT,4C,20,100
GPT,OP,1,99.77011494252874
GPT,OP,2,100
GPT,OP,3,96.7816091954023
GPT,OP,4,99.77011494252874
GPT,OP,5,86.26436781609195
GPT,OP,6,88.85057471264368
GPT,OP,7,100
GPT,OP,8,100
GPT,OP,9,95.52873563218391
GPT,OP,10,96.19540229885058
GPT,OP,11,100
GPT,OP,12,99.54022988505747
GPT,OP,13,75.80459770114942
GPT,OP,14,88.26436781609195
GPT,OP,15,100
GPT,OP,16,94.36781609195403
GPT,OP,17,82.70114942528735
GPT,OP,18,90.60919540229885
GPT,OP,19,74.54022988505747
GPT,OP,20,100
