"","Agent","Cond","AgentID","Mean_CR","Mean_conf"
"1","Human","2C",1,0.7,61.95
"2","Human","2C",2,0.95,100
"3","Human","2C",3,0.75,86.25
"4","Human","2C",4,0.95,100
"5","Human","2C",5,0.75,65
"6","Human","2C",6,0.8,78.5
"7","Human","2C",7,0.75,84
"8","Human","2C",8,0.5,49.5
"9","Human","2C",9,0.8,82.5
"10","Human","2C",10,0.75,60
"11","Human","2C",11,0.8,65
"12","Human","2C",12,0.7,38.4
"13","Human","2C",13,0.85,60
"14","Human","2C",14,0.85,43.5
"15","Human","2C",15,0.6,78.5
"16","Human","2C",16,0.8,63.25
"17","Human","2C",17,0.8,67.5
"18","Human","2C",18,0.55,88
"19","Human","2C",19,0.65,80.5
"20","Human","2C",20,0.6,64
"21","Human","2C",21,0.9,83.5
"22","Human","2C",22,0.6,43.15
"23","Human","2C",23,0.6,83.5
"24","Human","2C",24,1,86.5
"25","Human","2C",25,0.95,67.95
"26","Human","2C",26,0.7,64
"27","Human","2C",27,0.75,33.05
"28","Human","2C",28,0.8,62.5
"29","Human","2C",29,0.85,58
"30","Human","2C",30,0.85,75.5
"31","Human","2C",31,0.8,87
"32","Human","2C",32,0.85,87.5
"33","Human","2C",33,0.75,84.5
"34","Human","2C",34,0.75,49.25
"35","Human","2C",35,1,100
"36","Human","2C",36,0.75,69
"37","Human","2C",37,0.8,75
"38","Human","2C",38,0.7,70
"39","Human","2C",39,0.6,83
"40","Human","2C",40,0.6,76.5
"41","Human","2C",41,0.65,73.5
"42","Human","2C",42,0.7,53
"43","Human","2C",43,0.8,83.5
"44","Human","2C",44,0.65,78.5
"45","Human","2C",45,0.7,67.5
"46","Human","2C",46,0.75,63.5
"47","Human","2C",47,0.6,70.5
"48","Human","2C",48,0.75,70.85
"49","Human","2C",49,0.8,84.5
"50","Human","2C",50,0.6,77.5
"51","Human","2C",51,0.75,64.15
"52","Human","2C",52,0.8,73.5
"53","Human","2C",53,0.8,65.5
"54","Human","2C",54,0.75,76
"55","Human","2C",55,0.75,70.75
"56","Human","2C",56,0.65,82.5
"57","Human","2C",57,0.65,100
