"","Agent","Cond","Qnum","Mean_CR","Mean_conf"
"1","Human","2C",1,1,93.3563218390805
"2","Human","2C",2,0.517241379310345,92.5632183908046
"3","Human","2C",3,0.977011494252874,97.5057471264368
"4","Human","2C",4,0.747126436781609,67.7816091954023
"5","Human","2C",5,0.551724137931034,72.5862068965517
"6","Human","2C",6,0.908045977011494,84.8735632183908
"7","Human","2C",7,0.977011494252874,90.4022988505747
"8","Human","2C",8,0.528735632183908,54.5747126436782
"9","Human","2C",9,0.563218390804598,61.9310344827586
"10","Human","2C",10,0.735632183908046,80.1609195402299
"11","Human","2C",11,1,92.9080459770115
"12","Human","2C",12,0.908045977011494,71.2413793103448
"13","Human","2C",13,0.758620689655172,59.7471264367816
"14","Human","2C",14,0.67816091954023,65.1379310344828
"15","Human","2C",15,0.586206896551724,63.3218390804598
"16","Human","2C",16,0.505747126436782,49.8505747126437
"17","Human","2C",17,0.71264367816092,62.5862068965517
"18","Human","2C",18,0.67816091954023,56.448275862069
"19","Human","2C",19,0.517241379310345,54.1149425287356
"20","Human","2C",20,0.758620689655172,69.6896551724138
"21","Human","4C",1,0.988505747126437,94.0459770114943
"22","Human","4C",2,0.804597701149425,79.0689655172414
"23","Human","4C",3,0.666666666666667,61.4252873563218
"24","Human","4C",4,0.758620689655172,62.1379310344828
"25","Human","4C",5,0.724137931034483,73.3333333333333
"26","Human","4C",6,0.977011494252874,88.2068965517241
"27","Human","4C",7,0.942528735632184,90.2758620689655
"28","Human","4C",8,0.597701149425287,52.9080459770115
"29","Human","4C",9,0.471264367816092,65.1034482758621
"30","Human","4C",10,0.839080459770115,84.7701149425287
"31","Human","4C",11,1,92.8390804597701
"32","Human","4C",12,0.908045977011494,74.0804597701149
"33","Human","4C",13,0.67816091954023,66.1379310344828
"34","Human","4C",14,0.896551724137931,73.0804597701149
"35","Human","4C",15,0.770114942528736,77.2298850574713
"36","Human","4C",16,0.28735632183908,50.816091954023
"37","Human","4C",17,0.172413793103448,49.4942528735632
"38","Human","4C",18,0.747126436781609,51.1379310344828
"39","Human","4C",19,0.758620689655172,53.7586206896552
"40","Human","4C",20,0.64367816091954,68.9425287356322
"41","Human","OP",1,0.96551724137931,90.9655172413793
"42","Human","OP",2,0.71264367816092,66.1264367816092
"43","Human","OP",3,0.206896551724138,42.8620689655172
"44","Human","OP",4,0.620689655172414,50.6091954022989
"45","Human","OP",5,0.609195402298851,68.735632183908
"46","Human","OP",6,0.942528735632184,86.5057471264368
"47","Human","OP",7,0.954022988505747,82.5057471264368
"48","Human","OP",8,0.206896551724138,37.6436781609195
"49","Human","OP",9,0.275862068965517,44.8390804597701
"50","Human","OP",10,0.747126436781609,71.8505747126437
"51","Human","OP",11,0.770114942528736,86.6091954022989
"52","Human","OP",12,0.586206896551724,50.4367816091954
"53","Human","OP",13,0.609195402298851,42.9080459770115
"54","Human","OP",14,0.724137931034483,50.367816091954
"55","Human","OP",15,0.379310344827586,51.8505747126437
"56","Human","OP",16,0.264367816091954,36.4137931034483
"57","Human","OP",17,0.0459770114942529,33.3563218390805
"58","Human","OP",18,0.32183908045977,33.735632183908
"59","Human","OP",19,0.333333333333333,39.2183908045977
"60","Human","OP",20,0.0689655172413793,46.6896551724138
"61","GPT","2C",1,1,100
"62","GPT","2C",2,1,100
"63","GPT","2C",3,1,100
"64","GPT","2C",4,1,100
"65","GPT","2C",5,1,86.264367816092
"66","GPT","2C",6,1,100
"67","GPT","2C",7,1,100
"68","GPT","2C",8,1,99.9885057471264
"69","GPT","2C",9,1,100
"70","GPT","2C",10,0.942528735632184,95.7471264367816
"71","GPT","2C",11,1,100
"72","GPT","2C",12,0.988505747126437,97.5287356321839
"73","GPT","2C",13,1,96.2068965517241
"74","GPT","2C",14,0.218390804597701,92.7816091954023
"75","GPT","2C",15,1,81.264367816092
"76","GPT","2C",16,0.310344827586207,90.3448275862069
"77","GPT","2C",17,1,89.6551724137931
"78","GPT","2C",18,1,85.5172413793103
"79","GPT","2C",19,0.0229885057471264,90.2528735632184
"80","GPT","2C",20,1,100
"81","GPT","4C",1,1,100
"82","GPT","4C",2,1,100
"83","GPT","4C",3,1,100
"84","GPT","4C",4,1,100
"85","GPT","4C",5,1,99.7126436781609
"86","GPT","4C",6,1,99.7701149425287
"87","GPT","4C",7,1,100
"88","GPT","4C",8,1,100
"89","GPT","4C",9,0.0114942528735632,100
"90","GPT","4C",10,1,100
"91","GPT","4C",11,1,100
"92","GPT","4C",12,0.517241379310345,98.0229885057471
"93","GPT","4C",13,1,93.7931034482759
"94","GPT","4C",14,1,88.0919540229885
"95","GPT","4C",15,1,100
"96","GPT","4C",16,1,94.6436781609195
"97","GPT","4C",17,1,83.8505747126437
"98","GPT","4C",18,0.988505747126437,86.2068965517241
"99","GPT","4C",19,1,90.1954022988506
"100","GPT","4C",20,0,100
"101","GPT","OP",1,0.977011494252874,99.7701149425287
"102","GPT","OP",2,1,100
"103","GPT","OP",3,0.758620689655172,96.7816091954023
"104","GPT","OP",4,0.977011494252874,99.7701149425287
"105","GPT","OP",5,1,86.264367816092
"106","GPT","OP",6,1,88.8505747126437
"107","GPT","OP",7,1,100
"108","GPT","OP",8,1,100
"109","GPT","OP",9,1,95.5287356321839
"110","GPT","OP",10,0.988505747126437,96.1954022988506
"111","GPT","OP",11,1,100
"112","GPT","OP",12,1,99.5402298850575
"113","GPT","OP",13,0,75.8045977011494
"114","GPT","OP",14,0.252873563218391,88.264367816092
"115","GPT","OP",15,0.988505747126437,100
"116","GPT","OP",16,0.977011494252874,94.367816091954
"117","GPT","OP",17,0.988505747126437,82.7011494252874
"118","GPT","OP",18,0.379310344827586,90.6091954022988
"119","GPT","OP",19,0.0344827586206897,74.5402298850575
"120","GPT","OP",20,0.310344827586207,100
