"","Agent","AgentID","Cond","Qnum","Correctness","Confidence"
"1","Human",1,"OP",1,1,99
"2","Human",1,"OP",2,1,50
"3","Human",1,"OP",3,0,30
"4","Human",1,"OP",4,1,60
"5","Human",1,"OP",5,0,50
"6","Human",1,"OP",6,1,90
"7","Human",1,"OP",7,1,80
"8","Human",1,"OP",8,0,30
"9","Human",1,"OP",9,0,10
"10","Human",1,"OP",10,0,70
"11","Human",1,"OP",11,1,90
"12","Human",1,"OP",12,1,50
"13","Human",1,"OP",13,0,30
"14","Human",1,"OP",14,0,30
"15","Human",1,"OP",15,0,20
"16","Human",1,"OP",16,0,30
"17","Human",1,"OP",17,0,30
"18","Human",1,"OP",18,0,10
"19","Human",1,"OP",19,1,30
"20","Human",1,"OP",20,0,70
"21","Human",1,"2C",1,1,99
"22","Human",1,"2C",2,1,90
"23","Human",1,"2C",3,1,100
"24","Human",1,"2C",4,1,80
"25","Human",1,"2C",5,0,80
"26","Human",1,"2C",6,1,90
"27","Human",1,"2C",7,1,90
"28","Human",1,"2C",8,0,30
"29","Human",1,"2C",9,0,30
"30","Human",1,"2C",10,1,30
"31","Human",1,"2C",11,1,90
"32","Human",1,"2C",12,1,70
"33","Human",1,"2C",13,0,40
"34","Human",1,"2C",14,1,30
"35","Human",1,"2C",15,0,20
"36","Human",1,"2C",16,1,50
"37","Human",1,"2C",17,0,50
"38","Human",1,"2C",18,1,30
"39","Human",1,"2C",19,1,60
"40","Human",1,"2C",20,1,80
"41","Human",1,"4C",1,1,99
"42","Human",1,"4C",2,1,90
"43","Human",1,"4C",3,0,60
"44","Human",1,"4C",4,1,40
"45","Human",1,"4C",5,0,60
"46","Human",1,"4C",6,1,90
"47","Human",1,"4C",7,1,90
"48","Human",1,"4C",8,1,50
"49","Human",1,"4C",9,0,40
"50","Human",1,"4C",10,1,50
"51","Human",1,"4C",11,1,90
"52","Human",1,"4C",12,1,70
"53","Human",1,"4C",13,0,40
"54","Human",1,"4C",14,0,30
"55","Human",1,"4C",15,1,40
"56","Human",1,"4C",16,0,50
"57","Human",1,"4C",17,0,60
"58","Human",1,"4C",18,1,50
"59","Human",1,"4C",19,1,70
"60","Human",1,"4C",20,1,70
"61","Human",2,"OP",1,1,100
"62","Human",2,"OP",2,0,100
"63","Human",2,"OP",3,1,100
"64","Human",2,"OP",4,1,100
"65","Human",2,"OP",5,1,100
"66","Human",2,"OP",6,1,100
"67","Human",2,"OP",7,1,100
"68","Human",2,"OP",8,1,100
"69","Human",2,"OP",9,1,100
"70","Human",2,"OP",10,1,100
"71","Human",2,"OP",11,1,100
"72","Human",2,"OP",12,1,100
"73","Human",2,"OP",13,1,100
"74","Human",2,"OP",14,1,100
"75","Human",2,"OP",15,0,100
"76","Human",2,"OP",16,1,100
"77","Human",2,"OP",17,1,100
"78","Human",2,"OP",18,1,100
"79","Human",2,"OP",19,1,100
"80","Human",2,"OP",20,0,100
"81","Human",2,"2C",1,1,100
"82","Human",2,"2C",2,1,100
"83","Human",2,"2C",3,1,100
"84","Human",2,"2C",4,1,100
"85","Human",2,"2C",5,1,100
"86","Human",2,"2C",6,1,100
"87","Human",2,"2C",7,1,100
"88","Human",2,"2C",8,1,100
"89","Human",2,"2C",9,1,100
"90","Human",2,"2C",10,1,100
"91","Human",2,"2C",11,1,100
"92","Human",2,"2C",12,1,100
"93","Human",2,"2C",13,1,100
"94","Human",2,"2C",14,1,100
"95","Human",2,"2C",15,0,100
"96","Human",2,"2C",16,1,100
"97","Human",2,"2C",17,1,100
"98","Human",2,"2C",18,1,100
"99","Human",2,"2C",19,1,100
"100","Human",2,"2C",20,1,100
"101","Human",2,"4C",1,1,100
"102","Human",2,"4C",2,1,100
"103","Human",2,"4C",3,1,100
"104","Human",2,"4C",4,1,100
"105","Human",2,"4C",5,1,100
"106","Human",2,"4C",6,1,100
"107","Human",2,"4C",7,1,100
"108","Human",2,"4C",8,1,100
