"","Agent","Correctness","Cond","mean","sd","se","n"
"1","Humans","Correct","2C",77.5303826880212,13.7643992712198,1.47569849931869,87
"2","Humans","Correct","4C",77.086647780265,14.7517293937998,1.58155139936279,87
"3","Humans","Correct","OP",73.861001467543,14.6552377989866,1.57120641453221,87
"4","Humans","Incorrect","2C",57.132152194211,20.0715311213778,2.17706321764095,85
"5","Humans","Incorrect","4C",50.9251614787329,20.6737961910625,2.25569609399127,84
"6","Humans","Incorrect","OP",36.0582504704598,20.2640101812648,2.1851244140685,86
"7","GPT-4","Correct","2C",95.913720943106,1.05827718312942,0.113459223336589,87
"8","GPT-4","Correct","4C",96.3721397815024,0.921198056933468,0.0987627983906591,87
"9","GPT-4","Correct","OP",95.8827494982667,1.08582151720101,0.116412285918779,87
"10","GPT-4","Incorrect","2C",90.5766283524904,5.14490004860569,0.551591183259774,87
"11","GPT-4","Incorrect","4C",99.264367816092,1.86088385201318,0.199507690362057,87
"12","GPT-4","Incorrect","OP",84.5873563218391,4.70650421733433,0.504590216667108,87
