cutoff,combi.Subject,combi.Condition,combi.All,combi.High,combi.Low,combi.Incor,combi.Cor,combi.Low_Cor,combi.High_Cor,meta_I.Subject,meta_I.Condition,meta_I.ent_H2_r,meta_I.ent_H2_c_h,meta_I.ent_H2_c_l,meta_I.meta_I,meta_I.meta_Ir2
0,Human,All,60,53,7,26,34,0,34,Human,All,0.9871377743721863,0.941423108186979,0,0.1555473621403548,0.15757411597310414
1,Human,All,60,53,7,26,34,0,34,Human,All,0.9871377743721863,0.941423108186979,0,0.1555473621403548,0.15757411597310414
2,Human,All,60,53,7,26,34,0,34,Human,All,0.9871377743721863,0.941423108186979,0,0.1555473621403548,0.15757411597310414
3,Human,All,60,53,7,26,34,0,34,Human,All,0.9871377743721863,0.941423108186979,0,0.1555473621403548,0.15757411597310414
4,Human,All,60,53,7,26,34,0,34,Human,All,0.9871377743721863,0.941423108186979,0,0.1555473621403548,0.15757411597310414
5,Human,All,60,53,7,26,34,0,34,Human,All,0.9871377743721863,0.941423108186979,0,0.1555473621403548,0.15757411597310414
6,Human,All,60,53,7,26,34,0,34,Human,All,0.9871377743721863,0.941423108186979,0,0.1555473621403548,0.15757411597310414
7,Human,All,60,53,7,26,34,0,34,Human,All,0.9871377743721863,0.941423108186979,0,0.1555473621403548,0.15757411597310414
8,Human,All,60,53,7,26,34,0,34,Human,All,0.9871377743721863,0.941423108186979,0,0.1555473621403548,0.15757411597310414
9,Human,All,60,53,7,26,34,0,34,Human,All,0.9871377743721863,0.941423108186979,0,0.1555473621403548,0.15757411597310414
10,Human,All,60,53,7,26,34,0,34,Human,All,0.9871377743721863,0.941423108186979,0,0.1555473621403548,0.15757411597310414
11,Human,All,60,53,7,26,34,0,34,Human,All,0.9871377743721863,0.941423108186979,0,0.1555473621403548,0.15757411597310414
12,Human,All,60,53,7,26,34,0,34,Human,All,0.9871377743721863,0.941423108186979,0,0.1555473621403548,0.15757411597310414
13,Human,All,60,53,7,26,34,0,34,Human,All,0.9871377743721863,0.941423108186979,0,0.1555473621403548,0.15757411597310414
14,Human,All,60,53,7,26,34,0,34,Human,All,0.9871377743721863,0.941423108186979,0,0.1555473621403548,0.15757411597310414
15,Human,All,60,53,7,26,34,0,34,Human,All,0.9871377743721863,0.941423108186979,0,0.1555473621403548,0.15757411597310414
16,Human,All,60,53,7,26,34,0,34,Human,All,0.9871377743721863,0.941423108186979,0,0.1555473621403548,0.15757411597310414
17,Human,All,60,53,7,26,34,0,34,Human,All,0.9871377743721863,0.941423108186979,0,0.1555473621403548,0.15757411597310414
