cutoff,combi.Subject,combi.Condition,combi.All,combi.High,combi.Low,combi.Incor,combi.Cor,combi.Low_Cor,combi.High_Cor,meta_I.Subject,meta_I.Condition,meta_I.ent_H2_r,meta_I.ent_H2_c_h,meta_I.ent_H2_c_l,meta_I.meta_I,meta_I.meta_Ir2
0,Human,OP,20,13,7,10,10,0,10,Human,OP,1,0.7793498372920851,0,0.49342260576014474,0.49342260576014474
1,Human,OP,20,13,7,10,10,0,10,Human,OP,1,0.7793498372920851,0,0.49342260576014474,0.49342260576014474
2,Human,OP,20,13,7,10,10,0,10,Human,OP,1,0.7793498372920851,0,0.49342260576014474,0.49342260576014474
3,Human,OP,20,13,7,10,10,0,10,Human,OP,1,0.7793498372920851,0,0.49342260576014474,0.49342260576014474
4,Human,OP,20,13,7,10,10,0,10,Human,OP,1,0.7793498372920851,0,0.49342260576014474,0.49342260576014474
5,Human,OP,20,13,7,10,10,0,10,Human,OP,1,0.7793498372920851,0,0.49342260576014474,0.49342260576014474
6,Human,OP,20,13,7,10,10,0,10,Human,OP,1,0.7793498372920851,0,0.49342260576014474,0.49342260576014474
7,Human,OP,20,13,7,10,10,0,10,Human,OP,1,0.7793498372920851,0,0.49342260576014474,0.49342260576014474
8,Human,OP,20,13,7,10,10,0,10,Human,OP,1,0.7793498372920851,0,0.49342260576014474,0.49342260576014474
9,Human,OP,20,13,7,10,10,0,10,Human,OP,1,0.7793498372920851,0,0.49342260576014474,0.49342260576014474
10,Human,OP,20,11,9,10,10,0,10,Human,OP,1,0.4394969869215134,0,0.7582766571931676,0.7582766571931676
11,Human,OP,20,11,9,10,10,0,10,Human,OP,1,0.4394969869215134,0,0.7582766571931676,0.7582766571931676
12,Human,OP,20,11,9,10,10,0,10,Human,OP,1,0.4394969869215134,0,0.7582766571931676,0.7582766571931676
13,Human,OP,20,11,9,10,10,0,10,Human,OP,1,0.4394969869215134,0,0.7582766571931676,0.7582766571931676
14,Human,OP,20,11,9,10,10,0,10,Human,OP,1,0.4394969869215134,0,0.7582766571931676,0.7582766571931676
15,Human,OP,20,11,9,10,10,0,10,Human,OP,1,0.4394969869215134,0,0.7582766571931676,0.7582766571931676
16,Human,OP,20,11,9,10,10,0,10,Human,OP,1,0.4394969869215134,0,0.7582766571931676,0.7582766571931676
17,Human,OP,20,11,9,10,10,0,10,Human,OP,1,0.4394969869215134,0,0.7582766571931676,0.7582766571931676
18,Human,OP,20,11,9,10,10,0,10,Human,OP,1,0.4394969869215134,0,0.7582766571931676,0.7582766571931676
19,Human,OP,20,11,9,10,10,0,10,Human,OP,1,0.4394969869215134,0,0.7582766571931676,0.7582766571931676
20,Human,OP,20,9,11,10,10,1,9,Human,OP,1,0,0.4394969869215134,0.7582766571931676,0.7582766571931676
21,Human,OP,20,9,11,10,10,1,9,Human,OP,1,0,0.4394969869215134,0.7582766571931676,0.7582766571931676
22,Human,OP,20,9,11,10,10,1,9,Human,OP,1,0,0.4394969869215134,0.7582766571931676,0.7582766571931676
23,Human,OP,20,9,11,10,10,1,9,Human,OP,1,0,0.4394969869215134,0.7582766571931676,0.7582766571931676
24,Human,OP,20,9,11,10,10,1,9,Human,OP,1,0,0.4394969869215134,0.7582766571931676,0.7582766571931676
25,Human,OP,20,9,11,10,10,1,9,Human,OP,1,0,0.4394969869215134,0.7582766571931676,0.7582766571931676
26,Human,OP,20,9,11,10,10,1,9,Human,OP,1,0,0.4394969869215134,0.7582766571931676,0.7582766571931676
27,Human,OP,20,9,11,10,10,1,9,Human,OP,1,0,0.4394969869215134,0.7582766571931676,0.7582766571931676
28,Human,OP,20,9,11,10,10,1,9,Human,OP,1,0,0.4394969869215134,0.7582766571931676,0.7582766571931676
